,Subject,readable_actions,action,average of:
1,1,WALKING,Body_Acc_Mean_X,0.277330759
2,1,WALKING,Body_Acc_Mean_Y,-0.017383819
3,1,WALKING,Body_Acc_Mean_Z,-0.111148104
4,1,WALKING,Body_Acc_Std_X,-0.283740259
5,1,WALKING,Body_Acc_Std_Y,0.114461337
6,1,WALKING,Body_Acc_Std_Z,-0.260027902
7,1,WALKING,Gravity_Acc_Mean_X,0.935223201
8,1,WALKING,Gravity_Acc_Mean_Y,-0.282165021
9,1,WALKING,Gravity_Acc_Mean_Z,-0.068102864
10,1,WALKING,Gravity_Acc_Std_X,-0.976609643
11,1,WALKING,Gravity_Acc_Std_Y,-0.971305961
12,1,WALKING,Gravity_Acc_Std_Z,-0.947717226
13,1,WALKING,Body_Acc_Jerk_Mean_X,0.074041633
14,1,WALKING,Body_Acc_Jerk_Mean_Y,0.02827211
15,1,WALKING,Body_Acc_Jerk_Mean_Z,-0.004168406
16,1,WALKING,Body_Acc_Jerk_Std_X,-0.113615602
17,1,WALKING,Body_Acc_Jerk_Std_Y,0.067002501
18,1,WALKING,Body_Acc_Jerk_Std_Z,-0.502699789
19,1,WALKING,BodyGyro_Mean_X,-0.041830964
20,1,WALKING,BodyGyro_Mean_Y,-0.069530046
21,1,WALKING,BodyGyro_Mean_Z,0.084944817
22,1,WALKING,BodyGyro_Std_X,-0.473535486
23,1,WALKING,BodyGyro_Std_Y,-0.054607769
24,1,WALKING,BodyGyro_Std_Z,-0.344266629
25,1,WALKING,BodyGyroJerk_Mean_X,-0.089997542
26,1,WALKING,BodyGyroJerk_Mean_Y,-0.039842871
27,1,WALKING,BodyGyroJerk_Mean_Z,-0.04613093
28,1,WALKING,BodyGyroJerk_Std_X,-0.207421855
29,1,WALKING,BodyGyroJerk_Std_Y,-0.304468511
30,1,WALKING,BodyGyroJerk_Std_Z,-0.404255453
31,1,WALKING,BodyAccMag_Mean,-0.136971177
32,1,WALKING,NameBodyAccMag_Std,-0.219688646
33,1,WALKING,GravityAccMag_Mean,-0.136971177
34,1,WALKING,GravityAccMag_Std,-0.219688646
35,1,WALKING,BodyAccJerkMag_Mean,-0.141428809
36,1,WALKING,BodyAccJerkMag_Std,-0.07447175
37,1,WALKING,BodyGyroMag_Mean,-0.160979553
38,1,WALKING,BodyGyroMag_Std,-0.186978365
39,1,WALKING,fBodyAcc_Mean_X,-0.202794306
40,1,WALKING,fBodyAcc_Mean_Y,0.089712726
41,1,WALKING,fBodyAcc_Mean_Z,-0.331560118
42,1,WALKING,fBodyAcc_Std_X,-0.31913472
43,1,WALKING,fBodyAcc_Std_Y,0.056040007
44,1,WALKING,fBodyAcc_Std_Z,-0.279686751
45,1,WALKING,fBodyAccJerk_Mean_X,-0.170546965
46,1,WALKING,fBodyAccJerk_Mean_Y,-0.035225524
47,1,WALKING,fBodyAccJerk_Mean_Z,-0.468999225
48,1,WALKING,fBodyAccJerk_Std_X,-0.133586606
49,1,WALKING,fBodyAccJerk_Std_Y,0.106739857
50,1,WALKING,fBodyAccJerk_Std_Z,-0.53471344
51,1,WALKING,fBodyGyro_Mean_X,-0.339032197
52,1,WALKING,fBodyGyro_Mean_Y,-0.103059416
53,1,WALKING,fBodyGyro_Mean_Z,-0.25594094
54,1,WALKING,fBodyGyro_Std_X,-0.516691939
55,1,WALKING,fBodyGyro_Std_Y,-0.03350816
56,1,WALKING,fBodyGyro_Std_Z,-0.436562227
57,1,WALKING,fBodyAccMag_Mean,-0.128623451
58,1,WALKING,fBodyAccMag_Std,-0.398032587
59,1,WALKING,fBodyBodyAccJerkMag_Mean,-0.0571194
60,1,WALKING,fBodyBodyAccJerkMag_Std,-0.103492403
61,1,WALKING_UPSTAIRS,Body_Acc_Mean_X,0.25546169
62,1,WALKING_UPSTAIRS,Body_Acc_Mean_Y,-0.023953149
63,1,WALKING_UPSTAIRS,Body_Acc_Mean_Z,-0.097302002
64,1,WALKING_UPSTAIRS,Body_Acc_Std_X,-0.354708025
65,1,WALKING_UPSTAIRS,Body_Acc_Std_Y,-0.002320265
66,1,WALKING_UPSTAIRS,Body_Acc_Std_Z,-0.019479239
67,1,WALKING_UPSTAIRS,Gravity_Acc_Mean_X,0.893351098
68,1,WALKING_UPSTAIRS,Gravity_Acc_Mean_Y,-0.362153364
69,1,WALKING_UPSTAIRS,Gravity_Acc_Mean_Z,-0.07540294
70,1,WALKING_UPSTAIRS,Gravity_Acc_Std_X,-0.956367028
71,1,WALKING_UPSTAIRS,Gravity_Acc_Std_Y,-0.952849233
72,1,WALKING_UPSTAIRS,Gravity_Acc_Std_Z,-0.91237941
73,1,WALKING_UPSTAIRS,Body_Acc_Jerk_Mean_X,0.10137273
74,1,WALKING_UPSTAIRS,Body_Acc_Jerk_Mean_Y,0.019486308
75,1,WALKING_UPSTAIRS,Body_Acc_Jerk_Mean_Z,-0.045562545
76,1,WALKING_UPSTAIRS,Body_Acc_Jerk_Std_X,-0.446843888
77,1,WALKING_UPSTAIRS,Body_Acc_Jerk_Std_Y,-0.378274426
78,1,WALKING_UPSTAIRS,Body_Acc_Jerk_Std_Z,-0.706593531
79,1,WALKING_UPSTAIRS,BodyGyro_Mean_X,0.05054938
80,1,WALKING_UPSTAIRS,BodyGyro_Mean_Y,-0.166170015
81,1,WALKING_UPSTAIRS,BodyGyro_Mean_Z,0.058359546
82,1,WALKING_UPSTAIRS,BodyGyro_Std_X,-0.544871105
83,1,WALKING_UPSTAIRS,BodyGyro_Std_Y,0.004105184
84,1,WALKING_UPSTAIRS,BodyGyro_Std_Z,-0.507168675
85,1,WALKING_UPSTAIRS,BodyGyroJerk_Mean_X,-0.122232768
86,1,WALKING_UPSTAIRS,BodyGyroJerk_Mean_Y,-0.042148588
87,1,WALKING_UPSTAIRS,BodyGyroJerk_Mean_Z,-0.040712553
88,1,WALKING_UPSTAIRS,BodyGyroJerk_Std_X,-0.614786508
89,1,WALKING_UPSTAIRS,BodyGyroJerk_Std_Y,-0.601696656
90,1,WALKING_UPSTAIRS,BodyGyroJerk_Std_Z,-0.606332002
91,1,WALKING_UPSTAIRS,BodyAccMag_Mean,-0.129927631
92,1,WALKING_UPSTAIRS,NameBodyAccMag_Std,-0.324970929
93,1,WALKING_UPSTAIRS,GravityAccMag_Mean,-0.129927631
94,1,WALKING_UPSTAIRS,GravityAccMag_Std,-0.324970929
95,1,WALKING_UPSTAIRS,BodyAccJerkMag_Mean,-0.466503446
96,1,WALKING_UPSTAIRS,BodyAccJerkMag_Std,-0.478991622
97,1,WALKING_UPSTAIRS,BodyGyroMag_Mean,-0.12673559
98,1,WALKING_UPSTAIRS,BodyGyroMag_Std,-0.148619318
99,1,WALKING_UPSTAIRS,fBodyAcc_Mean_X,-0.404321784
100,1,WALKING_UPSTAIRS,fBodyAcc_Mean_Y,-0.190976721
101,1,WALKING_UPSTAIRS,fBodyAcc_Mean_Z,-0.433349702
102,1,WALKING_UPSTAIRS,fBodyAcc_Std_X,-0.337428189
103,1,WALKING_UPSTAIRS,fBodyAcc_Std_Y,0.021769511
104,1,WALKING_UPSTAIRS,fBodyAcc_Std_Z,0.085956554
105,1,WALKING_UPSTAIRS,fBodyAccJerk_Mean_X,-0.479875246
106,1,WALKING_UPSTAIRS,fBodyAccJerk_Mean_Y,-0.413444588
107,1,WALKING_UPSTAIRS,fBodyAccJerk_Mean_Z,-0.685474354
108,1,WALKING_UPSTAIRS,fBodyAccJerk_Std_X,-0.461907026
109,1,WALKING_UPSTAIRS,fBodyAccJerk_Std_Y,-0.381777065
110,1,WALKING_UPSTAIRS,fBodyAccJerk_Std_Z,-0.726040201
111,1,WALKING_UPSTAIRS,fBodyGyro_Mean_X,-0.492611668
112,1,WALKING_UPSTAIRS,fBodyGyro_Mean_Y,-0.319474609
113,1,WALKING_UPSTAIRS,fBodyGyro_Mean_Z,-0.453597213
114,1,WALKING_UPSTAIRS,fBodyGyro_Std_X,-0.565892491
115,1,WALKING_UPSTAIRS,fBodyGyro_Std_Y,0.151538906
116,1,WALKING_UPSTAIRS,fBodyGyro_Std_Z,-0.57170784
117,1,WALKING_UPSTAIRS,fBodyAccMag_Mean,-0.352395945
118,1,WALKING_UPSTAIRS,fBodyAccMag_Std,-0.416260102
119,1,WALKING_UPSTAIRS,fBodyBodyAccJerkMag_Mean,-0.442652162
120,1,WALKING_UPSTAIRS,fBodyBodyAccJerkMag_Std,-0.533059854
121,1,WALKING_DOWNSTAIRS,Body_Acc_Mean_X,0.28918832
122,1,WALKING_DOWNSTAIRS,Body_Acc_Mean_Y,-0.009918505
123,1,WALKING_DOWNSTAIRS,Body_Acc_Mean_Z,-0.107566191
124,1,WALKING_DOWNSTAIRS,Body_Acc_Std_X,0.030035338
125,1,WALKING_DOWNSTAIRS,Body_Acc_Std_Y,-0.031935943
126,1,WALKING_DOWNSTAIRS,Body_Acc_Std_Z,-0.230434213
127,1,WALKING_DOWNSTAIRS,Gravity_Acc_Mean_X,0.931874419
128,1,WALKING_DOWNSTAIRS,Gravity_Acc_Mean_Y,-0.266610339
129,1,WALKING_DOWNSTAIRS,Gravity_Acc_Mean_Z,-0.062119959
130,1,WALKING_DOWNSTAIRS,Gravity_Acc_Std_X,-0.950559812
131,1,WALKING_DOWNSTAIRS,Gravity_Acc_Std_Y,-0.937018659
132,1,WALKING_DOWNSTAIRS,Gravity_Acc_Std_Z,-0.895939695
133,1,WALKING_DOWNSTAIRS,Body_Acc_Jerk_Mean_X,0.054155316
134,1,WALKING_DOWNSTAIRS,Body_Acc_Jerk_Mean_Y,0.029650449
135,1,WALKING_DOWNSTAIRS,Body_Acc_Jerk_Mean_Z,-0.010971973
136,1,WALKING_DOWNSTAIRS,Body_Acc_Jerk_Std_X,-0.012283861
137,1,WALKING_DOWNSTAIRS,Body_Acc_Jerk_Std_Y,-0.101601391
138,1,WALKING_DOWNSTAIRS,Body_Acc_Jerk_Std_Z,-0.345735032
139,1,WALKING_DOWNSTAIRS,BodyGyro_Mean_X,-0.03507819
140,1,WALKING_DOWNSTAIRS,BodyGyro_Mean_Y,-0.090937129
141,1,WALKING_DOWNSTAIRS,BodyGyro_Mean_Z,0.090085014
142,1,WALKING_DOWNSTAIRS,BodyGyro_Std_X,-0.458030543
143,1,WALKING_DOWNSTAIRS,BodyGyro_Std_Y,-0.126349195
144,1,WALKING_DOWNSTAIRS,BodyGyro_Std_Z,-0.124702454
145,1,WALKING_DOWNSTAIRS,BodyGyroJerk_Mean_X,-0.073959204
146,1,WALKING_DOWNSTAIRS,BodyGyroJerk_Mean_Y,-0.043990278
147,1,WALKING_DOWNSTAIRS,BodyGyroJerk_Mean_Z,-0.027046106
148,1,WALKING_DOWNSTAIRS,BodyGyroJerk_Std_X,-0.487027342
149,1,WALKING_DOWNSTAIRS,BodyGyroJerk_Std_Y,-0.238824828
150,1,WALKING_DOWNSTAIRS,BodyGyroJerk_Std_Z,-0.26876148
151,1,WALKING_DOWNSTAIRS,BodyAccMag_Mean,0.027188291
152,1,WALKING_DOWNSTAIRS,NameBodyAccMag_Std,0.019884351
153,1,WALKING_DOWNSTAIRS,GravityAccMag_Mean,0.027188291
154,1,WALKING_DOWNSTAIRS,GravityAccMag_Std,0.019884351
155,1,WALKING_DOWNSTAIRS,BodyAccJerkMag_Mean,-0.089447481
156,1,WALKING_DOWNSTAIRS,BodyAccJerkMag_Std,-0.02578772
157,1,WALKING_DOWNSTAIRS,BodyGyroMag_Mean,-0.075741254
158,1,WALKING_DOWNSTAIRS,BodyGyroMag_Std,-0.225724368
159,1,WALKING_DOWNSTAIRS,fBodyAcc_Mean_X,0.038229183
160,1,WALKING_DOWNSTAIRS,fBodyAcc_Mean_Y,0.001549908
161,1,WALKING_DOWNSTAIRS,fBodyAcc_Mean_Z,-0.225574472
162,1,WALKING_DOWNSTAIRS,fBodyAcc_Std_X,0.024330839
163,1,WALKING_DOWNSTAIRS,fBodyAcc_Std_Y,-0.11296374
164,1,WALKING_DOWNSTAIRS,fBodyAcc_Std_Z,-0.297927895
165,1,WALKING_DOWNSTAIRS,fBodyAccJerk_Mean_X,-0.027663868
166,1,WALKING_DOWNSTAIRS,fBodyAccJerk_Mean_Y,-0.128667158
167,1,WALKING_DOWNSTAIRS,fBodyAccJerk_Mean_Z,-0.288334736
168,1,WALKING_DOWNSTAIRS,fBodyAccJerk_Std_X,-0.086327897
169,1,WALKING_DOWNSTAIRS,fBodyAccJerk_Std_Y,-0.134580009
170,1,WALKING_DOWNSTAIRS,fBodyAccJerk_Std_Z,-0.401721464
171,1,WALKING_DOWNSTAIRS,fBodyGyro_Mean_X,-0.352449631
172,1,WALKING_DOWNSTAIRS,fBodyGyro_Mean_Y,-0.055702252
173,1,WALKING_DOWNSTAIRS,fBodyGyro_Mean_Z,-0.031869427
174,1,WALKING_DOWNSTAIRS,fBodyGyro_Std_X,-0.495422486
175,1,WALKING_DOWNSTAIRS,fBodyGyro_Std_Y,-0.181414729
176,1,WALKING_DOWNSTAIRS,fBodyGyro_Std_Z,-0.238443565
177,1,WALKING_DOWNSTAIRS,fBodyAccMag_Mean,0.096584534
